Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover,No. of Trades  
KAYNES,EQ,27-Feb-26,"3,916.40","3,916.40","3,958.10","3,822.10","3,845.00","3,856.50","3,874.40","10,25,078","3,97,15,65,854.90","57,088"
KAYNES,EQ,26-Feb-26,"3,908.40","3,916.00","3,990.60","3,878.00","3,919.00","3,916.40","3,931.94","9,86,604","3,87,92,65,303.10","53,195"
KAYNES,EQ,25-Feb-26,"3,838.60","3,871.00","3,982.00","3,865.10","3,916.20","3,908.40","3,919.71","13,05,141","5,11,57,78,260.00","68,429"
KAYNES,EQ,24-Feb-26,"3,799.50","3,785.00","3,868.00","3,745.90","3,860.00","3,838.60","3,794.64","8,93,784","3,39,15,85,282.00","50,485"
KAYNES,EQ,23-Feb-26,"3,870.90","3,898.00","3,899.50","3,785.00","3,811.90","3,799.50","3,829.13","9,85,892","3,77,51,11,790.00","52,717"
KAYNES,EQ,20-Feb-26,"3,878.40","3,877.90","3,918.90","3,817.80","3,852.60","3,870.90","3,876.05","13,65,881","5,29,42,22,678.90","74,048"
KAYNES,EQ,19-Feb-26,"4,057.50","4,059.50","4,065.50","3,850.00","3,860.50","3,878.40","3,943.94","13,76,723","5,42,97,06,823.70","77,181"
KAYNES,EQ,18-Feb-26,"3,950.40","3,978.30","4,075.00","3,905.00","4,035.00","4,057.50","3,989.68","13,41,272","5,35,12,46,039.70","71,253"
KAYNES,EQ,17-Feb-26,"3,966.60","3,966.60","3,988.00","3,912.60","3,968.00","3,950.40","3,950.06","8,63,254","3,40,99,04,273.40","46,290"
KAYNES,EQ,16-Feb-26,"3,942.50","3,928.00","4,038.80","3,897.30","3,964.90","3,966.60","3,996.64","12,66,480","5,06,16,68,861.60","62,425"
KAYNES,EQ,13-Feb-26,"4,086.60","4,049.70","4,049.70","3,892.00","3,943.20","3,942.50","3,950.43","18,89,857","7,46,57,41,597.90","97,417"
KAYNES,EQ,12-Feb-26,"4,154.70","4,150.00","4,158.40","4,062.50","4,076.00","4,086.60","4,099.30","16,64,611","6,82,37,37,076.10","85,552"
KAYNES,EQ,11-Feb-26,"3,957.60","3,975.00","4,177.00","3,950.10","4,150.00","4,154.70","4,102.61","35,68,986","14,64,21,67,847.50","1,83,206"
KAYNES,EQ,10-Feb-26,"3,943.70","3,960.00","4,047.80","3,890.00","3,952.00","3,957.60","3,969.76","27,64,396","10,97,39,85,793.10","1,40,642"
KAYNES,EQ,09-Feb-26,"3,700.30","3,765.00","3,969.30","3,757.80","3,930.00","3,943.70","3,893.54","36,87,383","14,35,69,60,902.60","1,80,898"
KAYNES,EQ,06-Feb-26,"3,616.10","3,415.00","3,756.20","3,337.10","3,713.00","3,700.30","3,565.68","69,79,879","24,88,80,34,648.50","3,64,826"
KAYNES,EQ,05-Feb-26,"3,779.40","3,800.00","3,803.00","3,565.00","3,599.00","3,616.10","3,624.34","25,68,106","9,30,76,91,004.40","1,28,229"
